source	text	external_value	reason	code	status
SUBTLEX-CH	的	1682530.0	licensed-source-high-frequency-existing-SBZR-codes	d;de;diui	review_only_existing_codes
SUBTLEX-CH	我	1682285.0	licensed-source-high-frequency-existing-SBZR-codes	w;wo;woue	review_only_existing_codes
SUBTLEX-CH	你	1329424.0	licensed-source-high-frequency-existing-SBZR-codes	n;ni;niui	review_only_existing_codes
SUBTLEX-CH	是	947807.0	licensed-source-high-frequency-existing-SBZR-codes	s;sh;si;siia	review_only_existing_codes
SUBTLEX-CH	了	946365.0	licensed-source-high-frequency-existing-SBZR-codes	l;lcai;le	review_only_existing_codes
SUBTLEX-CH	不	689161.0	licensed-source-high-frequency-existing-SBZR-codes	b;bu;bueu	review_only_existing_codes
SUBTLEX-CH	在	429766.0	licensed-source-high-frequency-existing-SBZR-codes	z;zl;zleu	review_only_existing_codes
SUBTLEX-CH	他	397653.0	licensed-source-high-frequency-existing-SBZR-codes	t;ta;taui	review_only_existing_codes
SUBTLEX-CH	我们	371696.0	licensed-source-high-frequency-existing-SBZR-codes	womf	review_only_existing_codes
SUBTLEX-CH	好	334698.0	licensed-source-high-frequency-existing-SBZR-codes	hk;hkau	review_only_existing_codes
SUBTLEX-CH	有	289109.0	licensed-source-high-frequency-existing-SBZR-codes	yb;ybe;ybeu	review_only_existing_codes
SUBTLEX-CH	这	286987.0	licensed-source-high-frequency-existing-SBZR-codes	zeoe;zz;zzoe	review_only_existing_codes
SUBTLEX-CH	就	276636.0	licensed-source-high-frequency-existing-SBZR-codes	j;jq;jqoe	review_only_existing_codes
SUBTLEX-CH	会	265929.0	licensed-source-high-frequency-existing-SBZR-codes	hv;vh	review_only_existing_codes
SUBTLEX-CH	吗	249187.0	licensed-source-high-frequency-existing-SBZR-codes	ma;macb;maia	review_only_existing_codes
SUBTLEX-CH	要	238656.0	licensed-source-high-frequency-existing-SBZR-codes	yj;yk;ykei	review_only_existing_codes
SUBTLEX-CH	什么	236517.0	licensed-source-high-frequency-existing-SBZR-codes	sfme;sm	review_only_existing_codes
SUBTLEX-CH	说	226955.0	licensed-source-high-frequency-existing-SBZR-codes	so;sooa	review_only_existing_codes
SUBTLEX-CH	她	221420.0	licensed-source-high-frequency-existing-SBZR-codes	taau	review_only_existing_codes
SUBTLEX-CH	想	212185.0	licensed-source-high-frequency-existing-SBZR-codes	wx;xd;xdei	review_only_existing_codes
SUBTLEX-CH	一	203626.0	licensed-source-high-frequency-existing-SBZR-codes	y;yi;yiee	review_only_existing_codes
SUBTLEX-CH	很	200584.0	licensed-source-high-frequency-existing-SBZR-codes	hf;hfuu	review_only_existing_codes
SUBTLEX-CH	知道	196745.0	licensed-source-high-frequency-existing-SBZR-codes	zidk	review_only_existing_codes
SUBTLEX-CH	人	194914.0	licensed-source-high-frequency-existing-SBZR-codes	r;rf;rfuo	review_only_existing_codes
SUBTLEX-CH	吧	194084.0	licensed-source-high-frequency-existing-SBZR-codes	baia	review_only_existing_codes
SUBTLEX-CH	那	190087.0	licensed-source-high-frequency-existing-SBZR-codes	na;naae	review_only_existing_codes
SUBTLEX-CH	来	185154.0	licensed-source-high-frequency-existing-SBZR-codes	ll;lleo	review_only_existing_codes
SUBTLEX-CH	都	177619.0	licensed-source-high-frequency-existing-SBZR-codes	db;dbei;dbeie;du;duei	review_only_existing_codes
SUBTLEX-CH	个	173905.0	licensed-source-high-frequency-existing-SBZR-codes	g;ge;geuo	review_only_existing_codes
SUBTLEX-CH	能	166656.0	licensed-source-high-frequency-existing-SBZR-codes	ng;ngao	review_only_existing_codes
SUBTLEX-CH	去	163054.0	licensed-source-high-frequency-existing-SBZR-codes	q;quei	review_only_existing_codes
SUBTLEX-CH	没	159508.0	licensed-source-high-frequency-existing-SBZR-codes	m;mooo	review_only_existing_codes
